Brand,Lineup / Model,,,Eff.,Form Factor,Tier,Models,Part number,Rated
Apexgaming,AG-M,,,G,ATX,E,,,50,10,,,Full,,Full,Solytech,,FB,LLC,SR,DC-DC,Ambeyond,Sleeve,HR1001B,CM6502S,,,,,,
,AG-S,,,G,ATX,E,,,,,,,Semi,,Full,,,,LLC,,DC-DC,,,,,,,,,,
,AI,,,W,ATX,E,,,,,,,No,,Full,,,,DF,,,,,,,,,,,,
,AJ-M,,,G,ATX,E,,,,,,,Full,,Full,,,,LLC,,DC-DC,,,,,,,,,,
,AN,,,G,ATX,E,,,,,,,No,,Full,,,,LLC,,DC-DC,,,,,,,,,,
,AN-M,,,G,ATX,,,,,,,,Full,,Full,,,,LLC,,DC-DC,,,,,,,,,,
,AP-Ti,,,B,ATX,,,,,,,,No,,Full,,,,DF,,GR,,,,,,,,,,
,AX,,,B,ATX,E,,,,,,,No,,,,,,,,,,,,,,,,,,
,,,V2,,ATX,E,,,,,,,No,,Full,,,,DF,,GR,,,,,,,,,,
,SF-B,,,B,SFX,,,,,,,,No,,Full,,,,DF,,DC-DC,,,,,,,,,,
,STB,,,B,ATX,,,,,,,,No,,Full,,,,DF,,DC-DC,,,,,,,,,,
,STG,,,G,ATX,E,,,,,,,No,,Full,,,,LLC,,DC-DC,,,,,,,,,,
,STR-MW,,,G,ATX,,,,,,,,Full,,Full,,,,LLC,,DC-DC,,,,,,,,,,
,Odin,,,P,,,,,,,,,Full,,,Solytech,,I,LLC,,DC-DC,,,,,,,,,,
AQIRYS,Magnetar,,-,G,ATX,X,850/1000W,,,,,,,,,,,,,,,,,,,,,,,,
,,,LE,G,ATX,X,750W,,,,,,,,,,,,,,,,,,,,,,,,
,Pulsar,,-,W,ATX,E,450/550/650W,,,,,,,,,,,,,,,,,,,,,,,,
,,,,B,ATX,C*,750W,,,,,,,,,,,,,,,,,,,,,,,,
,,,LS,W,ATX,E,450/550/650W,,,,,,,,,,,,,,,,,,,,,,,,
,,,,B,ATX,C*,750W,,,,,,,,,,,,,,,,,,,,,,,,
,,,LS White,W,ATX,E,550/650W,,,,,,,,,,,,,,,,,,,,,,,,
,,,,B,ATX,C,750W,,,,,,,,,SANR,,,DF,,DC-DC,,,,,,,,,,
,,,SI,W,ATX,X,550/650W,,,,,,,,,,,,,,,,,,,,,,,,
,Quasar,,,P,ATX,X,1200W,,,,,,,,,,,,,,,,,,,,,,,,
Aresgame,AGK,,,G,ATX,F,,,,,,,,,,,,,,,DC-DC,,,,,,,,,,
,AGS,,,G,ATX,,,,,,,,,,,Jiumeng,,,DF,SSR,DC-DC,,,,,,,,,,
,AGT,,,G,ATX,,,,,,,,,,,Jiumeng,,,LLC,SR,DC-DC,,,,,,,,,,
,AGV,,,B,ATX,,,,,,,,,,,,,,,,,,,,,,,,,,
,AGW,,,B,ATX,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS,ROG,Loki,Platinum,P,SFX-L,A*,750-1200W,,,,2022,,,,,Great Wall,,,LLC,SR,DC-DC,,,,,,,,,,
,,,Titanium,T,SFX-L,B*,1200W,,,,TBR,,,,,,,,LLC,SR,DC-DC,,,,,,,,,,
,,THOR Titanium,,T,ATX,A*,1600W,,,,TBR,,Full,,Full,Wentai,Aidan,,LLC,SR,DC-DC,,,,,,,,,,
,,THOR Platinum II,,P,ATX,A*,850W,,,,2023,,Full,160,Full,Seasonic,,,LLC,SR,DC-DC,,,,,,,,,,
,,,,,,,1000/1200W,,,,,,,190,,Seasonic,,,,,,,,,,,,,,,
,,THOR Platinum,,P,ATX,A,850W,ROG-THOR-[W]P,,10,,,Full,,Full,Seasonic,Focus Platinum,FB,LLC,SR,DC-DC,Power Logic,DBB,,,,,,,,
,,,,,ATX,A-,1200W,,,,,,,,Full,,Prime Platinum,FB,,,,,,CM6901,NPC1654,,,,,,
,,Strix,Aura,G,ATX,A*,750-1200W,,,,,,Full,180,Full,CWT,,,LLC,SR,DC-DC,,,,,,,,,,
,,,-,G,ATX,A,550-850W,ROG-STRIX-[W]G,,10,,,Full,,Full,Seasonic,Focus Gold,FB,LLC,SR,DC-DC,Everflow,DBB,CM6901T6,CM6500UN,,,,,,
,Prime,,,G,ATX,,,,,,,,Full,,Full,CWT,GPX ATX 3.0,,LLC,SR,DC-DC,,,,,,,,,,
